dataset,seed,k,auc,max_occ
slashdot090221,49,64,0.8949714327139873,29955
slashdot090221,49,128,0.8949749293380602,29955
slashdot090221,49,256,0.8949648848353032,29955
slashdot090221,49,512,0.8949619074930709,29955
slashdot090221,49,1024,0.8949619453968549,29955
slashdot090221,50,1,0.8893768503063813,12041
slashdot090221,50,2,0.8936764641479364,12041
slashdot090221,50,4,0.8959627995510464,12041
slashdot090221,50,8,0.8969450656895699,12041
slashdot090221,50,16,0.8974343713226459,12041
slashdot090221,50,32,0.8975677073587719,12041
slashdot090221,50,64,0.8976446112937007,12041
slashdot090221,50,128,0.8976463548677642,12041
slashdot090221,50,256,0.8976489797048055,12041
slashdot090221,50,512,0.897650846466167,12041
slashdot090221,50,1024,0.897650164198055,12041
slashdot090221,51,1,0.8898132403618201,23510
slashdot090221,51,2,0.8945800136030616,23510
slashdot090221,51,4,0.8968818526014175,23510
slashdot090221,51,8,0.8977406414780305,23510
slashdot090221,51,16,0.8980755924791646,23510
slashdot090221,51,32,0.8981744398622391,23510
slashdot090221,51,64,0.8982109753196259,23510
slashdot090221,51,128,0.8982145818646722,23510
slashdot090221,51,256,0.8982089057730199,23510
slashdot090221,51,512,0.8982140455261287,23510
slashdot090221,51,1024,0.8982115912561156,23510
wiki-elec,42,1,0.9033449734262047,1685
wiki-elec,42,2,0.905930980284217,1685
wiki-elec,42,4,0.9066133631918307,1685
wiki-elec,42,8,0.9070340277304558,1685
wiki-elec,42,16,0.9073979058967414,1685
wiki-elec,42,32,0.9075193285223027,1685
wiki-elec,42,64,0.9074987295441012,1685
wiki-elec,42,128,0.907500399731523,1685
wiki-elec,42,256,0.907496725319195,1685
wiki-elec,42,512,0.9074984511795309,1685
wiki-elec,42,1024,0.9074981171420465,1685
wiki-elec,43,1,0.899104423235291,350
wiki-elec,43,2,0.9005199627481397,350
wiki-elec,43,4,0.9017363045744874,350
wiki-elec,43,8,0.9017924785447723,350
wiki-elec,43,16,0.9019275967071921,350
wiki-elec,43,32,0.9019098370476075,350
wiki-elec,43,64,0.9019778136756726,350
wiki-elec,43,128,0.9019643408304707,350
wiki-elec,43,256,0.9019525381726903,350
wiki-elec,43,512,0.9019526495185184,350
wiki-elec,44,1,0.8943344514681393,327
wiki-elec,44,2,0.8976623277424367,327
wiki-elec,44,4,0.899167333628177,327
wiki-elec,44,8,0.8991222942407039,327
wiki-elec,44,16,0.899200514684956,327
wiki-elec,44,32,0.8991980650767374,327
wiki-elec,44,64,0.8991747937986609,327
wiki-elec,44,128,0.8991847035773632,327
wiki-elec,44,256,0.8991902151958552,327
wiki-elec,44,512,0.8991905492333395,327
wiki-elec,45,1,0.8969564508650902,1581
wiki-elec,45,2,0.9007873040814482,1581
wiki-elec,45,4,0.9019939588207496,1581
wiki-elec,45,8,0.902298545333563,1581
wiki-elec,45,16,0.9026084207732121,1581
wiki-elec,45,32,0.9025513560363023,1581
wiki-elec,45,64,0.9025814194098938,1581
wiki-elec,45,128,0.9025877104491824,1581
wiki-elec,45,256,0.9025911621698541,1581
wiki-elec,45,512,0.9025892692907761,1581
wiki-elec,45,1024,0.90258904659912,1581
wiki-elec,46,1,0.9024798720146513,663
wiki-elec,46,2,0.9044521963409979,663
wiki-elec,46,4,0.9062775441742303,663
wiki-elec,46,8,0.9069987867758569,663
wiki-elec,46,16,0.9069877635388732,663
wiki-elec,46,32,0.9069839777807174,663
wiki-elec,46,64,0.9069623210171487,663
wiki-elec,46,128,0.9069601497735003,663
wiki-elec,46,256,0.9069614859234377,663
wiki-elec,46,512,0.9069613189046956,663
wiki-elec,46,1024,0.9069615415963518,663
wiki-elec,47,1,0.9007250617635307,413
wiki-elec,47,2,0.9030330380887355,413
wiki-elec,47,4,0.9033802143808036,413
wiki-elec,47,8,0.9041155422296869,413
wiki-elec,47,16,0.9043026032209232,413
wiki-elec,47,32,0.9043638434263872,413
wiki-elec,47,64,0.9043470302063417,413
wiki-elec,47,128,0.9043402381108265,413
wiki-elec,47,256,0.9043457497293182,413
wiki-elec,47,512,0.904345527037662,413
wiki-elec,48,1,0.8947167295325212,1558
wiki-elec,48,2,0.8966440144713945,1558
wiki-elec,48,4,0.8980289895544251,1558
wiki-elec,48,8,0.8978054628044807,1558
wiki-elec,48,16,0.8980437428766506,1558
wiki-elec,48,32,0.8980462481577832,1558
wiki-elec,48,64,0.898042184035057,1558
wiki-elec,48,128,0.8980350022291435,1558
wiki-elec,48,256,0.8980538753470092,1558
wiki-elec,48,512,0.8980525391970717,1558
wiki-elec,48,1024,0.8980495328597128,1558
wiki-elec,49,1,0.8957523570798355,1182
wiki-elec,49,2,0.9006258526306788,1182
wiki-elec,49,4,0.9013210959814402,1182
wiki-elec,49,8,0.9012306274960951,1182
wiki-elec,49,16,0.9014554347230629,1182
wiki-elec,49,32,0.901419414347667,1182
wiki-elec,49,64,0.9014811556093578,1182
wiki-elec,49,128,0.901499360652255,1182
wiki-elec,49,256,0.9014856651153964,1182
wiki-elec,49,512,0.9014882260694431,1182
wiki-elec,49,1024,0.9014894508735525,1182
wiki-elec,50,1,0.896484177535133,558
wiki-elec,50,2,0.8976852093101146,558
wiki-elec,50,4,0.8980945165742718,558
wiki-elec,50,8,0.8990188539663833,558
wiki-elec,50,16,0.8991682243948019,558
wiki-elec,50,32,0.8991570898119903,558
wiki-elec,50,64,0.8991547515495999,558
wiki-elec,50,128,0.8991489058936237,558
wiki-elec,50,256,0.8991538051100608,558
wiki-elec,50,512,0.8991549185683421,558
wiki-elec,50,1024,0.8991537494371468,558
wiki-elec,51,1,0.8953454715874397,1135
wiki-elec,51,2,0.8998599046790635,1135
wiki-elec,51,4,0.9004453053703874,1135
wiki-elec,51,8,0.9008323991418354,1135
wiki-elec,51,16,0.9008088494991888,1135
wiki-elec,51,32,0.9006624297352152,1135
wiki-elec,51,64,0.9008413624809989,1135
wiki-elec,51,128,0.9008236584943283,1135
