term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,seed,scale,p_fdr
ds_wiki-rfa,127041,3.2796862903330526,0.8761704908570523,0.03629480903821324,0.042415394148513794,77.32301812048517,0.0,26.567436930645467,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
ds_slashdot090221,127041,2.9776847029368483,1.3496489582400262,0.02353171622976952,0.032597218346348406,91.3478159792249,0.0,19.64228622926275,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
src_out,126682,-2.741409040318759,-1.0228644474400814,0.03284084556466052,0.04770772422780784,-57.462582520774454,0.0,0.06447942873971409,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,0.0
src_in,126682,-0.3737856017470346,-0.1263809891233131,0.03191051310180615,0.050830601145552365,-7.3535546171627475,1.929567616798522e-13,0.6881244286900696,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,2.5727568223980296e-13
tgt_out,126682,0.038669654002188025,0.014845468776526153,0.027191511816388642,0.03164090863428116,1.2221410721527641,0.22165428349736183,1.0394270563602794,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,0.22165428349736183
tgt_in,126682,-2.571764188027576,-0.8414276733761601,0.036900694007187276,0.05477164887755536,-46.954295529369176,0.0,0.07640064136404344,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,0.0
ds_bitcoin-alpha,126682,4.606690325865582,0.621323967418461,0.10055094794282331,0.1171805568058456,39.31275333926195,0.0,100.15212958757998,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
ds_bitcoin-otc,126682,4.663932698109702,0.7520220189836124,0.07941577909909786,0.10481469858424132,44.49693374218141,0.0,106.05233493905422,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
ds_epinions,126682,5.151749680960354,2.5595402568595196,0.034469765445215746,0.05337128125106228,96.52662555965556,0.0,172.73345450588752,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
ds_wiki-elec,126682,5.331525525771207,0.9299318911900675,0.06304093705586075,0.0740047840068477,72.04298475187602,0.0,206.7531409424446,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
ds_wiki-rfa,126682,5.3824819590266255,1.4338097490441697,0.049913077811447666,0.0661761157661678,81.33571903865642,0.0,217.56158481547132,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
ds_slashdot090221,126682,5.177337038561323,2.349888039537786,0.04242219607191799,0.05779051964952807,89.58799938051088,0.0,177.2102779672288,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,raw,
src_out,126682,-1.0228644474400814,-1.022864447440712,0.012253455379302182,0.017800530407248657,-57.46258252077449,0.0,0.35956351285970034,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,0.0
src_in,126682,-0.12638098912331314,-0.12638098912328594,0.010789292552707852,0.01718638069653385,-7.353554617162744,1.929567616798522e-13,0.8812790250921082,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,2.5727568223980296e-13
tgt_out,126682,0.014845468776526148,0.014845468776519091,0.010438954008585098,0.012147099148199229,1.2221410721527652,0.2216542834973616,1.014956210071654,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,0.2216542834973616
tgt_in,126682,-0.8414276733761598,-0.8414276733760375,0.012073138450631635,0.017920142638491017,-46.95429552936935,0.0,0.4310946215665313,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,0.0
ds_bitcoin-alpha,126682,2.4748015589850594,0.33378703894385814,0.09816326920555943,0.11419170124757771,21.672341614558054,0.0,11.879349529009074,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
ds_bitcoin-otc,126682,2.532043931229178,0.4082719268418958,0.07520365935282788,0.10108927147863059,25.0476029176294,0.0,12.579190879879194,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
ds_epinions,126682,3.01986091407983,1.5003554245405495,0.01934926268733553,0.036820728752489706,82.01524023001951,0.0,20.48844183222531,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
ds_wiki-elec,126682,3.1996367588906836,0.5580849698522399,0.053380121926320905,0.058119705825397834,55.05252845743876,0.0,24.523620591891618,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
ds_wiki-rfa,126682,3.250593192146102,0.865907632306963,0.036072720868013206,0.046139728791473475,70.45106846719925,0.0,25.805643082687297,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
ds_slashdot090221,126682,3.045448271680799,1.3822670641976145,0.02397699869256051,0.03219506879742763,94.59362521766467,0.0,21.01945151615255,"cluster_2way(u,v)",0.2505679654528373,0.8989359182835762,44,zscored,
src_out,127068,-2.691885187126014,-1.0038698974751528,0.03228650177666925,0.04890911515795563,-55.03851743038839,0.0,0.06775309164506378,"cluster_2way(u,v)",0.2447981788384903,0.896748197815343,45,raw,0.0
src_in,127068,-0.4296222061676564,-0.1449729377534799,0.03155160101914685,0.046691408512286245,-9.201311758556328,0.0,0.6507548994760226,"cluster_2way(u,v)",0.2447981788384903,0.896748197815343,45,raw,0.0
tgt_out,127068,0.0022395031224156457,0.0008592204132414813,0.02681561704664892,0.031384860982922584,0.07135615874272072,0.9431143008777032,1.0022420126825728,"cluster_2way(u,v)",0.2447981788384903,0.896748197815343,45,raw,0.9431143008777032
